rank_Local,rank_Global,team_Name,rating,average_Rank,average_Rating,group_Name
1,1,France,2127,17,1773,group_C
2,2,Brazil,2113,4,1994,group_E
3,3,Belgium,2058,24,1738,group_G
4,4,Spain,2010,7,1937,group_B
5,5,Germany,1964,8,1908,group_F
6,6,Uruguay,1946,12,1875,group_A
7,7,Croatia,1943,12,1874,group_D
8,8,Portugal,1939,20,1780,group_B
8,8,Colombia,1939,52,1586,group_H
10,10,England,1913,4,1979,group_G
11,12,Argentina,1896,5,1983,group_D
12,13,Denmark,1895,20,1793,group_C
13,14,Peru,1891,35,1668,group_C
14,16,Switzerland,1879,28,1676,group_E
15,18,Sweden,1865,16,1796,group_F
16,19,Mexico,1829,20,1774,group_F
17,20,Iran,1817,41,1646,group_B
18,21,Poland,1783,30,1708,group_H
19,23,Serbia,1773,20,1784,group_E
20,24,Senegal,1763,58,1577,group_H
21,26,South Korea,1756,35,1681,group_F
22,37,Costa Rica,1725,34,1694,group_E
23,38,Russia,1721,23,1741,group_A
24,39,Morocco,1720,44,1650,group_B
25,41,Australia,1712,34,1669,group_C
26,43,Iceland,1709,82,1409,group_D
27,44,Nigeria,1703,40,1665,group_D
28,45,Japan,1699,64,1440,group_H
29,47,Tunisia,1661,53,1600,group_G
30,61,Panama,1595,102,1337,group_G
31,64,Saudi Arabia,1583,77,1490,group_A
32,67,Egypt,1573,34,1672,group_A
